RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
3937,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2188,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2085,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2789,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1990,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2398,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2443,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1667,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1728,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
1634,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2050,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2892,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2419,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
2136,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
