RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3835,E_ivri.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3053,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4110,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3868,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5321,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3784,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3224,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3447,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4602,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2522,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3306,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2024,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
